序号,日期,出发地,目的地,出发时间,到达时间,高温,低温,天气状况,风向,延误率
3876,2019/4/28,浦东国际机场,白云国际机场,2019/4/28 6:55,2019/4/28 9:25,28,18,多云,无持续风向,0.77 
3892,2019/4/28,虹桥国际机场,白云国际机场,2019/4/28 11:35,2019/4/28 13:50,28,18,多云,无持续风向,0.85 
3923,2019/4/28,浦东国际机场,白云国际机场,2019/4/28 21:15,2019/4/28 23:40,28,18,多云,无持续风向,0.81 
3924,2019/4/28,浦东国际机场,白云国际机场,2019/4/28 21:15,2019/4/28 23:40,28,18,多云,无持续风向,0.70 
3928,2019/4/28,浦东国际机场,白云国际机场,2019/4/28 6:55,2019/4/28 9:25,28,18,多云,无持续风向,0.81 
3946,2019/4/28,浦东国际机场,流亭国际机场,2019/4/28 6:40,2019/4/28 8:25,28,18,多云,无持续风向,0.83 
3956,2019/4/28,浦东国际机场,流亭国际机场,2019/4/28 10:40,2019/4/28 12:20,28,18,多云,无持续风向,0.76 
3959,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 13:30,2019/4/28 15:05,28,18,多云,无持续风向,0.70 
3960,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 13:30,2019/4/28 15:05,28,18,多云,无持续风向,0.76 
3970,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 18:20,2019/4/28 19:55,28,18,多云,无持续风向,0.83 
3971,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 18:20,2019/4/28 19:55,28,18,多云,无持续风向,0.83 
3974,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 20:25,2019/4/28 22:05,28,18,多云,无持续风向,0.70 
3975,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 20:30,2019/4/28 22:10,28,18,多云,无持续风向,0.76 
3981,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 22:55,2019/4/29 0:40,28,18,多云,无持续风向,0.76 
3982,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 22:55,2019/4/29 0:40,28,18,多云,无持续风向,0.81 
3984,2019/4/28,虹桥国际机场,流亭国际机场,2019/4/28 19:45,2019/4/28 21:15,28,18,多云,无持续风向,0.83 
3997,2019/4/28,浦东国际机场,宝安国际机场,2019/4/28 11:35,2019/4/28 14:20,28,18,多云,无持续风向,0.76 
3998,2019/4/28,浦东国际机场,宝安国际机场,2019/4/28 11:35,2019/4/28 14:20,28,18,多云,无持续风向,0.76 
3999,2019/4/28,虹桥国际机场,宝安国际机场,2019/4/28 11:45,2019/4/28 14:25,28,18,多云,无持续风向,0.77 
4000,2019/4/28,虹桥国际机场,宝安国际机场,2019/4/28 11:45,2019/4/28 14:25,28,18,多云,无持续风向,0.74 
4007,2019/4/28,浦东国际机场,宝安国际机场,2019/4/28 13:10,2019/4/28 16:00,28,18,多云,无持续风向,0.70 
4008,2019/4/28,浦东国际机场,宝安国际机场,2019/4/28 13:10,2019/4/28 16:00,28,18,多云,无持续风向,0.79 
4016,2019/4/28,虹桥国际机场,宝安国际机场,2019/4/28 15:45,2019/4/28 18:25,28,18,多云,无持续风向,0.79 
4017,2019/4/28,虹桥国际机场,宝安国际机场,2019/4/28 15:45,2019/4/28 18:25,28,18,多云,无持续风向,0.76 
4028,2019/4/28,虹桥国际机场,宝安国际机场,2019/4/28 19:20,2019/4/28 21:45,28,18,多云,无持续风向,0.79 
4056,2019/4/28,虹桥国际机场,宝安国际机场,2019/4/28 19:20,2019/4/28 21:45,28,18,多云,无持续风向,0.76 
4097,2019/4/28,宝安国际机场,双流国际机场,2019/4/28 17:45,2019/4/28 20:30,27,22,雷阵雨,无持续风向,0.81 
4118,2019/4/28,滨海国际机场,江北国际机场,2019/4/28 17:05,2019/4/28 19:40,23,10,晴,无持续风向,0.83 
4120,2019/4/28,滨海国际机场,江北国际机场,2019/4/28 18:55,2019/4/28 21:45,23,10,晴,无持续风向,0.51 
4124,2019/4/28,滨海国际机场,新桥国际机场,2019/4/28 17:00,2019/4/28 18:50,23,10,晴,无持续风向,0.81 
4126,2019/4/28,滨海国际机场,天河国际机场,2019/4/28 7:40,2019/4/28 9:35,23,10,晴,无持续风向,0.79 
4127,2019/4/28,滨海国际机场,天河国际机场,2019/4/28 16:20,2019/4/28 18:15,23,10,晴,无持续风向,0.74 
4130,2019/4/28,滨海国际机场,天河国际机场,2019/4/28 15:50,2019/4/29 1:55,23,10,晴,无持续风向,0.76 
4131,2019/4/28,滨海国际机场,咸阳国际机场,2019/4/28 7:20,2019/4/28 9:25,23,10,晴,无持续风向,0.76 
4132,2019/4/28,滨海国际机场,咸阳国际机场,2019/4/28 8:10,2019/4/28 10:10,23,10,晴,无持续风向,0.76 
4134,2019/4/28,滨海国际机场,咸阳国际机场,2019/4/28 13:45,2019/4/28 15:40,23,10,晴,无持续风向,0.76 
4136,2019/4/28,滨海国际机场,咸阳国际机场,2019/4/28 17:35,2019/4/28 19:35,23,10,晴,无持续风向,0.81 
4140,2019/4/28,滨海国际机场,咸阳国际机场,2019/4/28 22:30,2019/4/29 0:35,23,10,晴,无持续风向,0.76 
4141,2019/4/28,滨海国际机场,咸阳国际机场,2019/4/28 15:50,2019/4/28 22:45,23,10,晴,无持续风向,0.76 
4165,2019/4/28,天河国际机场,双流国际机场,2019/4/28 19:00,2019/4/28 21:20,30,20,多云,无持续风向,0.79 
4166,2019/4/28,天河国际机场,双流国际机场,2019/4/28 19:10,2019/4/28 21:20,30,20,多云,无持续风向,0.76 
4169,2019/4/28,天河国际机场,双流国际机场,2019/4/28 19:00,2019/4/28 21:20,30,20,多云,无持续风向,0.85 
4408,2019/4/29,江北国际机场,白云国际机场,2019/4/29 7:30,2019/4/29 9:35,27,22,多云,无持续风向,0.83 
4411,2019/4/29,江北国际机场,白云国际机场,2019/4/29 8:45,2019/4/29 10:45,27,22,多云,无持续风向,0.76 
4412,2019/4/29,江北国际机场,白云国际机场,2019/4/29 9:35,2019/4/29 11:35,27,22,多云,无持续风向,0.83 
4413,2019/4/29,江北国际机场,白云国际机场,2019/4/29 10:05,2019/4/29 12:10,27,22,多云,无持续风向,0.87 
4434,2019/4/29,江北国际机场,白云国际机场,2019/4/29 8:45,2019/4/29 10:45,27,22,多云,无持续风向,0.77 
4442,2019/4/29,江北国际机场,禄口国际机场,2019/4/29 6:55,2019/4/29 9:10,27,22,多云,无持续风向,0.83 
4462,2019/4/29,江北国际机场,高崎国际机场,2019/4/29 6:25,2019/4/29 8:45,27,22,多云,无持续风向,0.70 
4473,2019/4/29,江北国际机场,高崎国际机场,2019/4/29 20:50,2019/4/29 23:20,27,22,多云,无持续风向,0.83 
4474,2019/4/29,江北国际机场,高崎国际机场,2019/4/29 9:00,2019/4/29 13:05,27,22,多云,无持续风向,0.85 
4491,2019/4/29,江北国际机场,宝安国际机场,2019/4/29 12:45,2019/4/29 14:50,27,22,多云,无持续风向,0.77 
4499,2019/4/29,江北国际机场,宝安国际机场,2019/4/29 16:15,2019/4/29 18:25,27,22,多云,无持续风向,0.76 
4521,2019/4/29,江北国际机场,滨海国际机场,2019/4/29 8:10,2019/4/29 10:45,27,22,多云,无持续风向,0.79 
4530,2019/4/29,江北国际机场,天河国际机场,2019/4/29 18:55,2019/4/29 20:20,27,22,多云,无持续风向,0.83 
4532,2019/4/29,江北国际机场,天河国际机场,2019/4/29 23:10,2019/4/30 0:40,27,22,多云,无持续风向,0.70 
4549,2019/4/29,双流国际机场,白云国际机场,2019/4/29 11:50,2019/4/29 14:20,28,20,多云,无持续风向,0.77 
4550,2019/4/29,双流国际机场,白云国际机场,2019/4/29 11:50,2019/4/29 14:20,28,20,多云,无持续风向,0.81 
4575,2019/4/29,双流国际机场,白云国际机场,2019/4/29 11:50,2019/4/29 14:20,28,20,多云,无持续风向,0.83 
4601,2019/4/29,双流国际机场,高崎国际机场,2019/4/29 18:30,2019/4/29 21:10,28,20,多云,无持续风向,0.87 
4632,2019/4/29,双流国际机场,宝安国际机场,2019/4/29 14:05,2019/4/29 16:30,28,20,多云,无持续风向,0.73 
4656,2019/4/29,双流国际机场,天河国际机场,2019/4/29 9:05,2019/4/29 11:15,28,20,多云,无持续风向,0.74 
4658,2019/4/29,双流国际机场,天河国际机场,2019/4/29 10:15,2019/4/29 12:25,28,20,多云,无持续风向,0.83 
4659,2019/4/29,双流国际机场,天河国际机场,2019/4/29 10:15,2019/4/29 12:25,28,20,多云,无持续风向,0.81 
4670,2019/4/29,黄花国际机场,双流国际机场,2019/4/29 17:55,2019/4/29 20:00,27,20,小雨,无持续风向,0.79 
4673,2019/4/29,黄花国际机场,双流国际机场,2019/4/29 8:05,2019/4/29 11:45,27,20,小雨,无持续风向,0.77 
4675,2019/4/29,黄花国际机场,禄口国际机场,2019/4/29 7:40,2019/4/29 9:05,27,20,小雨,无持续风向,0.76 
4676,2019/4/29,黄花国际机场,禄口国际机场,2019/4/29 8:20,2019/4/29 9:50,27,20,小雨,无持续风向,0.74 
4677,2019/4/29,黄花国际机场,禄口国际机场,2019/4/29 11:15,2019/4/29 12:40,27,20,小雨,无持续风向,0.83 
4679,2019/4/29,黄花国际机场,禄口国际机场,2019/4/29 20:55,2019/4/29 22:25,27,20,小雨,无持续风向,0.77 
4680,2019/4/29,黄花国际机场,禄口国际机场,2019/4/29 22:30,2019/4/30 0:10,27,20,小雨,无持续风向,0.76 
4682,2019/4/29,黄花国际机场,流亭国际机场,2019/4/29 9:35,2019/4/29 11:50,27,20,小雨,无持续风向,0.83 
4683,2019/4/29,黄花国际机场,流亭国际机场,2019/4/29 9:35,2019/4/29 11:50,27,20,小雨,无持续风向,0.85 
4685,2019/4/29,黄花国际机场,流亭国际机场,2019/4/29 21:00,2019/4/29 23:30,27,20,小雨,无持续风向,0.76 
4687,2019/4/29,黄花国际机场,高崎国际机场,2019/4/29 13:25,2019/4/29 14:50,27,20,小雨,无持续风向,0.79 
4688,2019/4/29,黄花国际机场,高崎国际机场,2019/4/29 14:05,2019/4/29 15:35,27,20,小雨,无持续风向,0.79 
4691,2019/4/29,黄花国际机场,高崎国际机场,2019/4/29 16:05,2019/4/29 17:30,27,20,小雨,无持续风向,0.76 
4693,2019/4/29,黄花国际机场,高崎国际机场,2019/4/29 19:50,2019/4/29 21:15,27,20,小雨,无持续风向,0.83 
4699,2019/4/29,黄花国际机场,滨海国际机场,2019/4/29 13:20,2019/4/29 15:45,27,20,小雨,无持续风向,0.79 
4700,2019/4/29,黄花国际机场,滨海国际机场,2019/4/29 14:05,2019/4/29 16:25,27,20,小雨,无持续风向,0.77 
4702,2019/4/29,黄花国际机场,滨海国际机场,2019/4/29 16:35,2019/4/29 19:10,27,20,小雨,无持续风向,0.74 
4703,2019/4/29,黄花国际机场,滨海国际机场,2019/4/29 19:20,2019/4/29 21:40,27,20,小雨,无持续风向,0.76 
4706,2019/4/29,黄花国际机场,滨海国际机场,2019/4/29 7:20,2019/4/29 11:15,27,20,小雨,无持续风向,0.83 
4707,2019/4/29,白云国际机场,江北国际机场,2019/4/29 6:55,2019/4/29 9:05,25,22,大雨,无持续风向,0.81 
4718,2019/4/29,白云国际机场,江北国际机场,2019/4/29 10:55,2019/4/29 13:15,25,22,大雨,无持续风向,0.70 
4719,2019/4/29,白云国际机场,江北国际机场,2019/4/29 11:50,2019/4/29 13:55,25,22,大雨,无持续风向,0.83 
4720,2019/4/29,白云国际机场,江北国际机场,2019/4/29 12:55,2019/4/29 14:55,25,22,大雨,无持续风向,0.81 
4740,2019/4/29,白云国际机场,江北国际机场,2019/4/29 11:50,2019/4/29 13:55,25,22,大雨,无持续风向,0.79 
4767,2019/4/29,白云国际机场,滨海国际机场,2019/4/29 17:10,2019/4/29 20:25,25,22,大雨,无持续风向,0.76 
4769,2019/4/29,白云国际机场,滨海国际机场,2019/4/29 13:00,2019/4/29 17:55,25,22,大雨,无持续风向,0.76 
4773,2019/4/29,白云国际机场,滨海国际机场,2019/4/29 13:00,2019/4/29 17:55,25,22,大雨,无持续风向,0.76 
4776,2019/4/29,白云国际机场,天河国际机场,2019/4/29 8:25,2019/4/29 10:25,25,22,大雨,无持续风向,0.76 
4778,2019/4/29,白云国际机场,天河国际机场,2019/4/29 11:05,2019/4/29 12:55,25,22,大雨,无持续风向,0.79 
4780,2019/4/29,白云国际机场,天河国际机场,2019/4/29 16:35,2019/4/29 18:25,25,22,大雨,无持续风向,0.81 
4785,2019/4/29,白云国际机场,天河国际机场,2019/4/29 8:25,2019/4/29 10:25,25,22,大雨,无持续风向,0.76 
4792,2019/4/29,白云国际机场,咸阳国际机场,2019/4/29 10:15,2019/4/29 12:50,25,22,大雨,无持续风向,0.83 
4832,2019/4/29,新桥国际机场,双流国际机场,2019/4/29 11:45,2019/4/29 14:05,28,17,晴,无持续风向,0.76 
4845,2019/4/29,新桥国际机场,宝安国际机场,2019/4/29 9:35,2019/4/29 11:45,28,17,晴,无持续风向,0.83 
4846,2019/4/29,新桥国际机场,宝安国际机场,2019/4/29 9:35,2019/4/29 11:45,28,17,晴,无持续风向,0.74 
4865,2019/4/29,禄口国际机场,首都国际机场,2019/4/29 19:00,2019/4/29 20:55,23,12,阴,无持续风向,0.76 
4871,2019/4/29,禄口国际机场,江北国际机场,2019/4/29 10:10,2019/4/29 12:25,23,12,阴,无持续风向,0.77 
4904,2019/4/29,禄口国际机场,黄花国际机场,2019/4/29 10:05,2019/4/29 11:50,23,12,阴,无持续风向,0.79 
4905,2019/4/29,禄口国际机场,黄花国际机场,2019/4/29 10:50,2019/4/29 12:30,23,12,阴,无持续风向,0.79 
4906,2019/4/29,禄口国际机场,黄花国际机场,2019/4/29 13:50,2019/4/29 15:25,23,12,阴,无持续风向,0.81 
4907,2019/4/29,禄口国际机场,黄花国际机场,2019/4/29 18:10,2019/4/29 19:55,23,12,阴,无持续风向,0.74 
4908,2019/4/29,禄口国际机场,黄花国际机场,2019/4/29 19:15,2019/4/29 21:00,23,12,阴,无持续风向,0.85 
4915,2019/4/29,禄口国际机场,白云国际机场,2019/4/29 10:50,2019/4/29 13:30,23,12,阴,无持续风向,0.70 
4919,2019/4/29,禄口国际机场,白云国际机场,2019/4/29 11:50,2019/4/29 14:30,23,12,阴,无持续风向,0.85 
4930,2019/4/29,禄口国际机场,白云国际机场,2019/4/29 19:15,2019/4/29 21:25,23,12,阴,无持续风向,0.76 
4937,2019/4/29,禄口国际机场,白云国际机场,2019/4/29 23:10,2019/4/30 1:15,23,12,阴,无持续风向,0.73 
4963,2019/4/29,禄口国际机场,宝安国际机场,2019/4/29 20:00,2019/4/29 22:15,23,12,阴,无持续风向,0.83 
4965,2019/4/29,禄口国际机场,宝安国际机场,2019/4/29 21:00,2019/4/29 23:10,23,12,阴,无持续风向,0.79 
4971,2019/4/29,禄口国际机场,宝安国际机场,2019/4/29 21:00,2019/4/29 23:10,23,12,阴,无持续风向,0.74 
4977,2019/4/29,流亭国际机场,首都国际机场,2019/4/29 16:50,2019/4/29 18:25,21,10,多云,无持续风向,0.77 
4980,2019/4/29,流亭国际机场,首都国际机场,2019/4/29 20:05,2019/4/29 21:35,21,10,多云,无持续风向,0.85 
4981,2019/4/29,流亭国际机场,首都国际机场,2019/4/29 20:05,2019/4/29 21:35,21,10,多云,无持续风向,0.79 
4984,2019/4/29,流亭国际机场,首都国际机场,2019/4/29 21:00,2019/4/29 22:35,21,10,多云,无持续风向,0.76 
5005,2019/4/29,流亭国际机场,咸阳国际机场,2019/4/29 18:00,2019/4/29 20:15,21,10,多云,无持续风向,0.76 
5006,2019/4/29,流亭国际机场,咸阳国际机场,2019/4/29 18:00,2019/4/29 20:15,21,10,多云,无持续风向,0.81 
5016,2019/4/29,高崎国际机场,南苑机场,2019/4/29 16:10,2019/4/29 19:15,25,19,阴,无持续风向,0.76 
5028,2019/4/29,高崎国际机场,南苑机场,2019/4/29 19:15,2019/4/29 23:20,25,19,阴,无持续风向,0.83 
5030,2019/4/29,高崎国际机场,禄口国际机场,2019/4/29 6:45,2019/4/29 8:40,25,19,阴,无持续风向,0.83 
5031,2019/4/29,高崎国际机场,禄口国际机场,2019/4/29 6:45,2019/4/29 8:40,25,19,阴,无持续风向,0.79 
5034,2019/4/29,高崎国际机场,禄口国际机场,2019/4/29 12:30,2019/4/29 14:20,25,19,阴,无持续风向,0.83 
5052,2019/4/29,高崎国际机场,浦东国际机场,2019/4/29 8:00,2019/4/29 10:05,25,19,阴,无持续风向,0.81 
5053,2019/4/29,高崎国际机场,浦东国际机场,2019/4/29 8:00,2019/4/29 10:05,25,19,阴,无持续风向,0.81 
5066,2019/4/29,高崎国际机场,浦东国际机场,2019/4/29 17:35,2019/4/29 19:35,25,19,阴,无持续风向,0.81 
5067,2019/4/29,高崎国际机场,浦东国际机场,2019/4/29 17:35,2019/4/29 19:35,25,19,阴,无持续风向,0.76 
5097,2019/4/29,浦东国际机场,江北国际机场,2019/4/29 7:40,2019/4/29 10:30,28,18,多云,无持续风向,0.79 
5102,2019/4/29,虹桥国际机场,江北国际机场,2019/4/29 10:30,2019/4/29 13:20,28,18,多云,无持续风向,0.83 
5103,2019/4/29,虹桥国际机场,江北国际机场,2019/4/29 10:30,2019/4/29 13:20,28,18,多云,无持续风向,0.81 
5104,2019/4/29,虹桥国际机场,江北国际机场,2019/4/29 10:30,2019/4/29 13:20,28,18,多云,无持续风向,0.87 
5114,2019/4/29,虹桥国际机场,江北国际机场,2019/4/29 15:00,2019/4/29 17:45,28,18,多云,无持续风向,0.85 
5124,2019/4/29,浦东国际机场,江北国际机场,2019/4/29 19:15,2019/4/29 22:10,28,18,多云,无持续风向,0.74 
5129,2019/4/29,虹桥国际机场,江北国际机场,2019/4/29 21:35,2019/4/30 0:30,28,18,多云,无持续风向,0.83 
5130,2019/4/29,虹桥国际机场,江北国际机场,2019/4/29 21:35,2019/4/30 0:30,28,18,多云,无持续风向,0.76 
5131,2019/4/29,虹桥国际机场,江北国际机场,2019/4/29 21:35,2019/4/30 0:30,28,18,多云,无持续风向,0.79 
5133,2019/4/29,浦东国际机场,江北国际机场,2019/4/29 22:55,2019/4/30 2:00,28,18,多云,无持续风向,0.76 
5139,2019/4/29,浦东国际机场,江北国际机场,2019/4/29 23:00,2019/4/30 2:05,28,18,多云,无持续风向,0.76 
5153,2019/4/29,浦东国际机场,宝安国际机场,2019/4/29 11:35,2019/4/29 14:20,28,18,多云,无持续风向,0.81 
5154,2019/4/29,浦东国际机场,宝安国际机场,2019/4/29 11:35,2019/4/29 14:20,28,18,多云,无持续风向,0.76 
5155,2019/4/29,虹桥国际机场,宝安国际机场,2019/4/29 11:45,2019/4/29 14:25,28,18,多云,无持续风向,0.78 
5156,2019/4/29,虹桥国际机场,宝安国际机场,2019/4/29 11:45,2019/4/29 14:25,28,18,多云,无持续风向,0.87 
5163,2019/4/29,浦东国际机场,宝安国际机场,2019/4/29 13:10,2019/4/29 15:55,28,18,多云,无持续风向,0.70 
5164,2019/4/29,浦东国际机场,宝安国际机场,2019/4/29 13:10,2019/4/29 15:55,28,18,多云,无持续风向,0.83 
5172,2019/4/29,虹桥国际机场,宝安国际机场,2019/4/29 15:45,2019/4/29 18:25,28,18,多云,无持续风向,0.81 
5173,2019/4/29,虹桥国际机场,宝安国际机场,2019/4/29 15:45,2019/4/29 18:25,28,18,多云,无持续风向,0.79 
5184,2019/4/29,虹桥国际机场,宝安国际机场,2019/4/29 19:20,2019/4/29 21:45,28,18,多云,无持续风向,0.76 
5190,2019/4/29,浦东国际机场,宝安国际机场,2019/4/29 19:55,2019/4/29 22:45,28,18,多云,无持续风向,0.85 
5212,2019/4/29,虹桥国际机场,宝安国际机场,2019/4/29 19:20,2019/4/29 21:45,28,18,多云,无持续风向,0.76 
5234,2019/4/29,虹桥国际机场,滨海国际机场,2019/4/29 15:55,2019/4/29 18:20,28,18,多云,无持续风向,0.76 
5242,2019/4/29,浦东国际机场,天河国际机场,2019/4/29 6:45,2019/4/29 8:50,28,18,多云,无持续风向,0.70 
5245,2019/4/29,浦东国际机场,天河国际机场,2019/4/29 7:55,2019/4/29 10:05,28,18,多云,无持续风向,0.76 
5256,2019/4/29,虹桥国际机场,天河国际机场,2019/4/29 20:00,2019/4/29 21:55,28,18,多云,无持续风向,0.73 
5279,2019/4/29,虹桥国际机场,咸阳国际机场,2019/4/29 18:00,2019/4/29 20:25,28,18,多云,无持续风向,0.79 
5289,2019/4/29,浦东国际机场,咸阳国际机场,2019/4/29 23:05,2019/4/30 1:35,28,18,多云,无持续风向,0.83 
5312,2019/4/29,宝安国际机场,江北国际机场,2019/4/29 15:40,2019/4/29 17:45,27,22,雷阵雨,无持续风向,0.74 
5324,2019/4/29,宝安国际机场,江北国际机场,2019/4/29 20:45,2019/4/29 23:00,27,22,雷阵雨,无持续风向,0.70 
5361,2019/4/29,宝安国际机场,双流国际机场,2019/4/29 15:15,2019/4/29 17:55,27,22,雷阵雨,无持续风向,0.79 
5368,2019/4/29,宝安国际机场,双流国际机场,2019/4/29 17:45,2019/4/29 20:30,27,22,雷阵雨,无持续风向,0.79 
5406,2019/4/29,宝安国际机场,禄口国际机场,2019/4/29 17:30,2019/4/29 19:55,27,22,雷阵雨,无持续风向,0.83 
5413,2019/4/29,宝安国际机场,禄口国际机场,2019/4/29 23:15,2019/4/30 1:45,27,22,雷阵雨,无持续风向,0.73 
5416,2019/4/29,宝安国际机场,禄口国际机场,2019/4/29 17:30,2019/4/29 19:55,27,22,雷阵雨,无持续风向,0.85 
5421,2019/4/29,宝安国际机场,浦东国际机场,2019/4/29 7:55,2019/4/29 10:15,27,22,雷阵雨,无持续风向,0.77 
5422,2019/4/29,宝安国际机场,浦东国际机场,2019/4/29 7:55,2019/4/29 10:15,27,22,雷阵雨,无持续风向,0.79 
5424,2019/4/29,宝安国际机场,虹桥国际机场,2019/4/29 8:10,2019/4/29 10:35,27,22,雷阵雨,无持续风向,0.74 
5425,2019/4/29,宝安国际机场,虹桥国际机场,2019/4/29 8:10,2019/4/29 10:35,27,22,雷阵雨,无持续风向,0.83 
5430,2019/4/29,宝安国际机场,浦东国际机场,2019/4/29 9:20,2019/4/29 11:55,27,22,雷阵雨,无持续风向,0.83 
5431,2019/4/29,宝安国际机场,浦东国际机场,2019/4/29 9:20,2019/4/29 11:55,27,22,雷阵雨,无持续风向,0.79 
5432,2019/4/29,宝安国际机场,浦东国际机场,2019/4/29 9:50,2019/4/29 12:10,27,22,雷阵雨,无持续风向,0.70 
5454,2019/4/29,宝安国际机场,虹桥国际机场,2019/4/29 15:35,2019/4/29 18:05,27,22,雷阵雨,无持续风向,0.76 
5475,2019/4/29,宝安国际机场,虹桥国际机场,2019/4/29 20:30,2019/4/29 22:55,27,22,雷阵雨,无持续风向,0.85 
5476,2019/4/29,宝安国际机场,虹桥国际机场,2019/4/29 20:30,2019/4/29 22:55,27,22,雷阵雨,无持续风向,0.70 
5488,2019/4/29,宝安国际机场,虹桥国际机场,2019/4/29 15:35,2019/4/29 18:05,27,22,雷阵雨,无持续风向,0.77 
5506,2019/4/29,宝安国际机场,滨海国际机场,2019/4/29 22:25,2019/4/30 1:20,27,22,雷阵雨,无持续风向,0.85 
5512,2019/4/29,宝安国际机场,天河国际机场,2019/4/29 9:30,2019/4/29 11:25,27,22,雷阵雨,无持续风向,0.76 
5521,2019/4/29,宝安国际机场,咸阳国际机场,2019/4/29 7:05,2019/4/29 9:40,27,22,雷阵雨,无持续风向,0.79 
5522,2019/4/29,宝安国际机场,咸阳国际机场,2019/4/29 7:05,2019/4/29 9:40,27,22,雷阵雨,无持续风向,0.81 
5523,2019/4/29,宝安国际机场,咸阳国际机场,2019/4/29 7:05,2019/4/29 9:40,27,22,雷阵雨,无持续风向,0.83 
5525,2019/4/29,宝安国际机场,咸阳国际机场,2019/4/29 9:50,2019/4/29 12:40,27,22,雷阵雨,无持续风向,0.83 
5551,2019/4/29,宝安国际机场,咸阳国际机场,2019/4/29 20:05,2019/4/30 0:20,27,22,雷阵雨,无持续风向,0.76 
5553,2019/4/29,宝安国际机场,咸阳国际机场,2019/4/29 9:50,2019/4/29 12:40,27,22,雷阵雨,无持续风向,0.70 
5561,2019/4/29,滨海国际机场,江北国际机场,2019/4/29 18:55,2019/4/29 21:45,23,10,晴,无持续风向,0.79 
5572,2019/4/29,滨海国际机场,天河国际机场,2019/4/29 7:40,2019/4/29 9:35,23,10,晴,无持续风向,0.85 
5573,2019/4/29,滨海国际机场,天河国际机场,2019/4/29 16:20,2019/4/29 18:15,23,10,晴,无持续风向,0.77 
5577,2019/4/29,滨海国际机场,天河国际机场,2019/4/29 15:50,2019/4/30 1:55,23,10,晴,无持续风向,0.76 
5578,2019/4/29,滨海国际机场,咸阳国际机场,2019/4/29 7:20,2019/4/29 9:25,23,10,晴,无持续风向,0.87 
5579,2019/4/29,滨海国际机场,咸阳国际机场,2019/4/29 8:10,2019/4/29 10:10,23,10,晴,无持续风向,0.79 
5581,2019/4/29,滨海国际机场,咸阳国际机场,2019/4/29 13:45,2019/4/29 15:40,23,10,晴,无持续风向,0.74 
5583,2019/4/29,滨海国际机场,咸阳国际机场,2019/4/29 17:35,2019/4/29 19:35,23,10,晴,无持续风向,0.70 
5587,2019/4/29,滨海国际机场,咸阳国际机场,2019/4/29 22:30,2019/4/30 0:35,23,10,晴,无持续风向,0.70 
5588,2019/4/29,滨海国际机场,咸阳国际机场,2019/4/29 15:50,2019/4/29 22:45,23,10,晴,无持续风向,0.83 
5590,2019/4/29,天河国际机场,江北国际机场,2019/4/29 14:20,2019/4/29 16:05,30,20,多云,无持续风向,0.70 
5596,2019/4/29,天河国际机场,江北国际机场,2019/4/29 21:45,2019/4/29 23:25,30,20,多云,无持续风向,0.74 
5607,2019/4/29,天河国际机场,宝安国际机场,2019/4/29 18:40,2019/4/29 20:30,30,20,多云,无持续风向,0.77 
5611,2019/4/29,天河国际机场,咸阳国际机场,2019/4/29 8:05,2019/4/29 9:35,30,20,多云,无持续风向,0.76 
5613,2019/4/29,天河国际机场,咸阳国际机场,2019/4/29 11:25,2019/4/29 13:05,30,20,多云,无持续风向,0.77 